#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
r_lovely;radical;麗;lovely;;;;;;28
r_specialty;radical;専;specialty;;;;;;28
r_thorn;radical;屯;thorn;;;;;;28
r_giant;radical;巨;giant;;;;;;28
r_odd;radical;奇;odd;;;;;;29
r_above;radical;上;above;;;;;;29
r_nose;radical;乙;nose;;;;;;29
r_servant;radical;臣;servant;;;;;;29
r_egg;radical;;egg;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/9d6bc90f6cad5bd365a076e9294a977cc3867c89.png;;;;;26
r_comb;radical;;comb;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/31dd44f0367dc32e123641af89edba28040a5392.png;;;;;27
r_grass;radical;;grass;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/016299a6054d3c70d3c394a639221773b431d84c.png;;;;;15
r_morning;radical;;morning;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/75a32770a958f6b881cae311f860e48b04972897.png;;;;;29
r_chester;radical;鬲;chester;;;;;;31
r_joker;radical;召;joker;;;;;;30
r_turtle-shell;radical;甲;turtle-shell;;;;;;30
r_oversee;radical;監;oversee;;;;;;30
r_north;radical;北;north;;;;;;30
r_skin;radical;皮;skin;;;;;;11
r_change;radical;化;change;;;;;;27
r_accept;radical;受;accept;;;;;;24
r_guest;radical;客;guest;;;;;;24
r_rake;radical;而;rake;;;;;;27
r_rocket;radical;离;rocket;;;;;;31
r_flowers;radical;艹;flowers;;;;;;4
r_exit;radical;出;exit;;;;;;27
r_same;radical;同;same;;;;;;32
r_night;radical;夜;night;;;;;;32
r_fang;radical;牙;fang;;;;;;31
r_line-up;radical;並;line-up;;;;;;31
r_bookshelf;radical;扁;bookshelf;;;;;;31
r_cat-pirate;radical;卬;cat-pirate;;;;;;32
r_beforehand;radical;予;beforehand;;;;;;12
r_height;radical;丈;height;;;;;;15
r_death-star;radical;;death-star;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/23fd4bf82752aa42b4da2955691c2ba4a475f876.png;;;;;24
r_potato;radical;華;potato;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/ebda1c3e3a7784df35167aa0ce57f6343f35c21f.png;;;;;31
r_cow-god;radical;韋;cow-god;;;;;;24
r_football;radical;爰;football;;;;;;22
r_circus;radical;冓;circus;;;;;;25
r_frostbite;radical;夌;frostbite;;;;;;32
r_mohawk;radical;啇;mohawk;;;;;;21
r_interval;radical;間;interval;;;;;;33
r_slice;radical;亥;slice;;;;;;34
r_inside;radical;内;inside;;;;;;33
r_storehouse;radical;蔵;storehouse;;;;;;33
r_catapult;radical;呉;catapult;;;;;;34
r_member;radical;員;member;;;;;;34
r_claw;radical;爪;claw;;;;;;34
r_belt;radical;帯;belt;;;;;;35
r_turtle;radical;亀;turtle;;;;;;35
r_shuriken;radical;彑;shuriken;;;;;;35
r_sake;radical;為;sake;;;;;;35
r_cemetery;radical;去;cemetery;;;;;;15
r_rain;radical;雨;rain;;;;;;5
r_bright;radical;明;bright;;;;;;36
r_departure;radical;発;departure;;;;;;36
r_south;radical;南;south;;;;;;36
r_sweet;radical;甘;sweet;;;;;;36
r_right;radical;右;right;;;;;;36
r_omen;radical;兆;omen;;;;;;37
r_prize;radical;賞;prize;;;;;;37
r_skewer;radical;串;skewer;;;;;;37
r_violence;radical;暴;violence;;;;;;37
r_greenhouse;radical;莫;greenhouse;;;;;;25
r_think;radical;思;think;;;;;;38
r_prefecture;radical;県;prefecture;;;;;;38
