# WaniKani - Vocabulary
# Generated on August 13, 2016 15:54 PM UTC
# WaniKani to Anki Exporter (http://wanikanitoanki.com)
#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
v_絶つ;vocabulary;絶つ;to sever, to cut off, to abstain from;;;;;たつ;28
v_爆弾;vocabulary;爆弾;bomb;;;;;ばくだん;37
v_横;vocabulary;横;side;;;;;よこ;10
v_算定する;vocabulary;算定する;to calculate;;;;;さんていする;10
v_飲む;vocabulary;飲む;to drink;;;;;のむ;10
v_共通点;vocabulary;共通点;common point, common feature;;;;;きょうつうてん;11
v_海岸;vocabulary;海岸;seashore, coast, seacoast;;;;;かいがん;11
v_高級;vocabulary;高級;high class, high grade, high level;;;;;こうきゅう;11
v_約;vocabulary;約;promise, approximately;;;;;やく;14
v_身体;vocabulary;身体;the body, health, body;;;;;しんたい;8
v_外来語;vocabulary;外来語;foreign word, borrowed word, loanword;;;;;がいらいご;10
v_雅致;vocabulary;雅致;artistry, good taste, elegance;;;;;がち;40
v_阻害;vocabulary;阻害;obstruction, inhibition;;;;;そがい;46
v_根本;vocabulary;根本;root, source, origin, foundation;;;;;こんぽん;12
v_鏡;vocabulary;鏡;mirror;;;;;かがみ;13
v_話題;vocabulary;話題;topic, subject;;;;;わだい;13
v_公告;vocabulary;公告;public notice, public announcement;;;;;こうこく;18
v_大敵;vocabulary;大敵;arch enemy, rival, enemy;;;;;たいてき;21
v_登山;vocabulary;登山;mountain climbing;;;;;とざん;12
v_補充;vocabulary;補充;supplement;;;;;ほじゅう;39
v_汁物;vocabulary;汁物;soups, soup;;;;;しるもの;37
v_雇用者;vocabulary;雇用者;employer, employee;;;;;こようしゃ;41
v_可能性;vocabulary;可能性;possibility;;;;;かのうせい;20
v_作戦;vocabulary;作戦;tactics, strategy;;;;;さくせん;11
v_洋服;vocabulary;洋服;western clothing, western style clothes;;;;;ようふく;11
v_広島;vocabulary;広島;hiroshima;;;;;ひろしま;12
v_区;vocabulary;区;district, ward;;;;;く;15
v_坂;vocabulary;坂;slope;;;;;さか;15
v_劇的;vocabulary;劇的;dramatic;;;;;げきてき;34
v_二日酔い;vocabulary;二日酔い;hangover;;;;;ふつかよい;37
v_歯;vocabulary;歯;tooth, teeth;;;;;は;12
v_用;vocabulary;用;task, use, duty, service, business, purpose, function;;;;;よう;3
v_奥様;vocabulary;奥様;your wife, wife, ma'am;;;;;おくさま;40
v_気泡;vocabulary;気泡;air bubble;;;;;きほう;46
v_社員;vocabulary;社員;employee, staff, company employee, company staff;;;;;しゃいん;12
v_二階;vocabulary;二階;second floor, floor two, second story, second storey;;;;;にかい;12
v_箱;vocabulary;箱;box;;;;;はこ;16
v_暴れる;vocabulary;暴れる;to act violently, to rage;;;;;あばれる;19
v_玉;vocabulary;玉;ball;;;;;たま;2
v_清い;vocabulary;清い;pure, clean;;;;;きよい;28
v_記録;vocabulary;記録;record;;;;;きろく;28
v_仏典;vocabulary;仏典;buddhist scriptures, buddhist writing;;;;;ぶってん;16
v_四十;vocabulary;四十;forty;;;;;よんじゅう;2
v_火;vocabulary;火;fire;;;;;ひ;2
v_犬;vocabulary;犬;dog;;;;;いぬ;2
v_左手;vocabulary;左手;left hand;;;;;ひだりて;2
v_荒波;vocabulary;荒波;stormy seas, raging waves;;;;;あらなみ;44
v_並ぶ;vocabulary;並ぶ;to be lined up;;;;;ならぶ;28
v_暖かい;vocabulary;暖かい;warm place, warm;;;;;あたたかい, あったかい;32
v_片手;vocabulary;片手;one handed;;;;;かたて;39
v_追い付く;vocabulary;追い付く;to catch up to, to overtake;;;;;おいつく;13
v_愛;vocabulary;愛;love;;;;;あい;17
v_庄園;vocabulary;庄園;manor;;;;;しょうえん;46
v_結構です;vocabulary;結構です;no thank you, no thanks;;;;;けっこうです;27
v_二枚舌;vocabulary;二枚舌;forked tongue;;;;;にまいじた;19
v_研修;vocabulary;研修;training, in service training, study;;;;;けんしゅう;28
v_国益;vocabulary;国益;national interests, national benefit;;;;;こくえき;28
v_田代島;vocabulary;田代島;tashirojima;;;;;たしろじま;12
v_左;vocabulary;左;left direction, left;;;;;ひだり;2
v_一千;vocabulary;一千;one thousand;;;;;いっせん;2
v_千;vocabulary;千;thousand;;;;;せん;2
v_寺;vocabulary;寺;temple;;;;;てら;15
v_残業;vocabulary;残業;overtime;;;;;ざんぎょう;14
v_変;vocabulary;変;strange;;;;;へん;15
v_証明;vocabulary;証明;proof, verification;;;;;しょうめい;16
v_傘立て;vocabulary;傘立て;umbrella stand, umbrella holder;;;;;かさたて;28
v_王子;vocabulary;王子;prince;;;;;おうじ;2
v_死刑;vocabulary;死刑;death penalty;;;;;しけい;37
v_五台;vocabulary;五台;five machines;;;;;ごだい;3
v_銀色;vocabulary;銀色;silver, silver color, silver colour, colour silver, color silver;;;;;ぎんいろ;13
v_私生活;vocabulary;私生活;personal life, one's personal life, private life, one's private life;;;;;しせいかつ;14
v_署名;vocabulary;署名;signature;;;;;しょめい;17
v_月額;vocabulary;月額;monthly amount;;;;;げつがく;24
v_取り扱う;vocabulary;取り扱う;to manage, to handle;;;;;とりあつかう;40
v_仏壇;vocabulary;仏壇;buddhist altar;;;;;ぶつだん;49
v_官僚的;vocabulary;官僚的;bureaucratic;;;;;かんりょうてき;30
v_追う;vocabulary;追う;to chase, to follow;;;;;おう;11
v_遅延;vocabulary;遅延;delay;;;;;ちえん;35
v_お笑い;vocabulary;お笑い;comedian, comical thing, comical, funny;;;;;おわらい;18
v_続く;vocabulary;続く;to continue;;;;;つづく;19
v_お尻;vocabulary;お尻;butt;;;;;おしり;20
v_土俵;vocabulary;土俵;arena, sumo arena;;;;;どひょう;46
v_踊る;vocabulary;踊る;to dance;;;;;おどる;48
v_言語;vocabulary;言語;language, a language;;;;;げんご;10
v_短い;vocabulary;短い;short;;;;;みじかい;12
v_〜券;vocabulary;〜券;ticket;;;;;けん;28
v_官僚;vocabulary;官僚;bureaucrat, bureaucracy;;;;;かんりょう;29
v_陣営;vocabulary;陣営;camp;;;;;じんえい;37
v_四十二階;vocabulary;四十二階;forty second floor, floor forty two, 42nd floor, floor 42, forty second story, forty second storey;;;;;よんじゅうにかい;12
v_私立;vocabulary;私立;private;;;;;しりつ;14
v_会議;vocabulary;会議;meeting, conference, assembly;;;;;かいぎ;20
v_残額;vocabulary;残額;remaining amount;;;;;ざんがく;24
v_魅力;vocabulary;魅力;allure, charm, attraction, appeal;;;;;みりょく;30
v_砕く;vocabulary;砕く;to smash, to break;;;;;くだく;47
v_市;vocabulary;市;city;;;;;し;3
